country_name,year,unemployment_percent,pop_0_14_percent,gdp_per_capita,political_stability,remittances_percent_gdp,undernourished_percent,events,fatalities,precip_mm,temperature_C,migration_pressure_index
Afghanistan,2020,14.314825541226874,38.67323657192108,401.2462714401709,-2.4285083706372896,2.1803505625280235,33.53711969419814,758.8,7412.8,1.376990406752549,6.897600889317868,0.6410085311833024
Afghanistan,2021,13.36681120510045,41.77845769266134,357.14766047780404,-2.596779402719908,2.189242156187388,32.47093653088032,758.8,7412.8,0.47631037596341796,9.601746141073829,0.5498789732050826
Afghanistan,2022,14.629068093043552,41.87496244706059,384.01798065374743,-2.5942083400405016,2.160127627903623,27.51810249729798,758.8,7412.8,0.9770729927120684,8.045623449292922,0.5554401436016747
Angola,2020,14.763098125055805,38.52380408089779,360.37187468828546,-2.3981533756262126,2.498101399582353,32.56003542586607,0.0,0.0,1.221296844873183,6.885934515437546,0.4429166395025506
Angola,2021,12.724520191999046,41.480080905251775,364.97772329240246,-2.5651181344504614,2.2686697926975237,31.82332863386226,0.0,0.0,0.47810887590933887,9.24212216616465,0.3404825882070295
Angola,2022,13.181963447662065,41.58572351472455,405.56366674539845,-2.675055037395983,2.1561284040976183,28.051144082796288,0.0,0.0,0.9763493434589584,8.176250681933244,0.3350969370684245
Anguilla,2020,14.190127484232935,43.14163598779898,367.4203551127014,-2.643836792117866,2.258691039998803,29.939133542600043,0.0,0.0,1.2934000278450282,6.7434206085360895,0.3711617108923103
Anguilla,2021,13.877048972397773,46.004985289682416,386.39371555604157,-2.5328310622363936,2.095750750929328,32.065194065473634,0.0,0.0,0.47277433385081197,8.48364770323672,0.3792838315686753
Anguilla,2022,14.088155183959476,43.04585621954379,342.3308889203576,-2.485407013262897,2.373362209618304,31.236658936620874,0.0,0.0,0.987229311196556,8.724419674845585,0.4182032391379714
Åland,2020,13.498604031060626,41.33370651164095,412.8322935630854,-2.4648732687630996,2.134356690114395,28.41017552037026,0.0,0.0,1.241159210545743,6.4116853864725725,0.35811165708873094
Åland,2021,14.719975572278294,43.45573794183737,389.0456827830082,-2.6044850063000715,2.262618810962176,31.328328076810216,0.0,0.0,0.4635007349042555,8.97352456176667,0.4040094507116109
Åland,2022,14.648343314477406,45.865982438634575,374.219431204873,-2.569782519906694,2.324963593416335,27.150999093957505,0.0,0.0,1.0731295119716437,9.116853148960356,0.43312794595136905
Albania,2020,14.146551641780656,41.453234912895645,388.5338337613661,-2.625046242964419,2.249781403858493,30.061310292849036,0.0,0.0,1.3775853392679092,7.144802449769715,0.39716104626744825
Albania,2021,14.894705050912462,41.595705982766965,351.04361014549823,-2.5617366212487394,2.2177423702384975,32.12969428948807,0.0,0.0,0.4798273134388497,8.334925341083112,0.3556646641380124
Albania,2022,14.429594086287691,44.79691518955283,399.99568778701644,-2.6491418789828853,2.2085082942774026,30.4279592076684,0.0,0.0,1.0506243036332839,8.86108697954508,0.4422036555594877
